2046.png	woman facepalming	🤦‍♀️️	\U0001F926\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F926 U+200D U+2640 U+FE0F	woman facepalming
2047.png	person shrugging	🤷️	\U0001F937\U0000FE0F	U+1F937	person shrugging
2048.png	man shrugging	🤷‍♂️️	\U0001F937\U0000200D\U00002642\U0000FE0F\U0000FE0F	U+1F937 U+200D U+2642 U+FE0F	man shrugging
2049.png	woman shrugging	🤷‍♀️️	\U0001F937\U0000200D\U00002640\U0000FE0F\U0000FE0F	U+1F937 U+200D U+2640 U+FE0F	woman shrugging
2050.png	health worker	🧑‍⚕️️	\U0001F9D1\U0000200D\U00002695\U0000FE0F\U0000FE0F	U+1F9D1 U+200D U+2695 U+FE0F	health worker
2051.png	man health worker	👨‍⚕️️	\U0001F468\U0000200D\U00002695\U0000FE0F\U0000FE0F	U+1F468 U+200D U+2695 U+FE0F	man health worker
2052.png	woman health worker	👩‍⚕️️	\U0001F469\U0000200D\U00002695\U0000FE0F\U0000FE0F	U+1F469 U+200D U+2695 U+FE0F	woman health worker
2053.png	student	🧑‍🎓️	\U0001F9D1\U0000200D\U0001F393\U0000FE0F	U+1F9D1 U+200D U+1F393	student
2054.png	man student	👨‍🎓️	\U0001F468\U0000200D\U0001F393\U0000FE0F	U+1F468 U+200D U+1F393	man student
2055.png	woman student	👩‍🎓️	\U0001F469\U0000200D\U0001F393\U0000FE0F	U+1F469 U+200D U+1F393	woman student
2056.png	teacher	🧑‍🏫️	\U0001F9D1\U0000200D\U0001F3EB\U0000FE0F	U+1F9D1 U+200D U+1F3EB	teacher
2057.png	man teacher	👨‍🏫️	\U0001F468\U0000200D\U0001F3EB\U0000FE0F	U+1F468 U+200D U+1F3EB	man teacher
2058.png	woman teacher	👩‍🏫️	\U0001F469\U0000200D\U0001F3EB\U0000FE0F	U+1F469 U+200D U+1F3EB	woman teacher
2059.png	judge	🧑‍⚖️️	\U0001F9D1\U0000200D\U00002696\U0000FE0F\U0000FE0F	U+1F9D1 U+200D U+2696 U+FE0F	judge
2060.png	man judge	👨‍⚖️️	\U0001F468\U0000200D\U00002696\U0000FE0F\U0000FE0F	U+1F468 U+200D U+2696 U+FE0F	man judge
2061.png	woman judge	👩‍⚖️️	\U0001F469\U0000200D\U00002696\U0000FE0F\U0000FE0F	U+1F469 U+200D U+2696 U+FE0F	woman judge
2062.png	farmer	🧑‍🌾️	\U0001F9D1\U0000200D\U0001F33E\U0000FE0F	U+1F9D1 U+200D U+1F33E	farmer
2063.png	man farmer	👨‍🌾️	\U0001F468\U0000200D\U0001F33E\U0000FE0F	U+1F468 U+200D U+1F33E	man farmer
2064.png	woman farmer	👩‍🌾️	\U0001F469\U0000200D\U0001F33E\U0000FE0F	U+1F469 U+200D U+1F33E	woman farmer
2065.png	cook	🧑‍🍳️	\U0001F9D1\U0000200D\U0001F373\U0000FE0F	U+1F9D1 U+200D U+1F373	cook
2066.png	man cook	👨‍🍳️	\U0001F468\U0000200D\U0001F373\U0000FE0F	U+1F468 U+200D U+1F373	man cook
2067.png	woman cook	👩‍🍳️	\U0001F469\U0000200D\U0001F373\U0000FE0F	U+1F469 U+200D U+1F373	woman cook
2068.png	mechanic	🧑‍🔧️	\U0001F9D1\U0000200D\U0001F527\U0000FE0F	U+1F9D1 U+200D U+1F527	mechanic
